address,avgspeed,carport,lat,lon,pk,totalvol,time
中正橋入城門架CCTV桿,71,4,25.021654,121.516734,VFDGP01,48,2015-11-20 02:46:22.103
忠孝東路一段148號前,44,6,25.043923,121.526126,VK5IE20,22,2015-11-20 02:46:22.103
林森北路348號前,31,1,25.057107,121.525359,VN5IG00,25,2015-11-20 02:46:22.103
信義五段-莊敬路往東,42,3,25.032883,121.560216,VHKQP20,12,2015-11-20 02:46:22.103
民權東路六段203巷口往西30M,37,4,25.067213,121.600575,VQKWL61,20,2015-11-20 02:46:22.103
復興北路隧道東側隧道頂板二車道主線0K+740公尺處,71,2,25.068872,121.544966,VM010A2,5,2015-11-20 02:46:22.103
忠孝東-延吉街 往西,61,4,25.041503,121.553506,VJFPW60,26,2015-11-20 02:46:22.103
離新生北路二段141巷下游約10公尺,68,2,25.062167,121.527222,VN2B0E3,6,2015-11-20 02:46:22.103
新生北路三段84巷前方,60,2,25.067444,121.527778,VN2B0E2,10,2015-11-20 02:46:22.103
松壽-市府 往西,28,5,25.035801,121.564639,VI9R760,25,2015-11-20 02:46:22.103
入口匝道起點,53,1,25.067611,121.527833,VN2B0E1,2,2015-11-20 02:46:22.103
南京下與南京上匝道,88,3,25.057353,121.537214,V1050A0,33,2015-11-20 02:46:22.103
和平東路三段2號前,54,2,25.024619,121.546663,VFPMQ20,14,2015-11-20 02:46:22.103
研究院路2段胡適公園前,31,1,25.040213,121.617498,VJM4U00,3,2015-11-20 02:46:22.103
和平東路二段88號前,10,6,25.025224,121.539353,VFTLH60,3,2015-11-20 02:46:22.103
南京出口匝道,66,1,25.049662,121.537052,V10E2A0,14,2015-11-20 02:46:22.103
林森北路414號前,26,1,25.059436,121.525439,VNKIG00,30,2015-11-20 02:46:22.103
忠孝東-松信往東,34,3,25.040693,121.569685,VJDST20,12,2015-11-20 02:46:22.103
杭州南路二段53-4號對面槽化島上,15,3,25.032803,121.522828,VHFHU00,1,2015-11-20 02:46:22.103
長安西路88號對面人行道上,42,2,25.050592,121.519138,VLGGY60,15,2015-11-20 02:46:22.103
重慶北路三段31號前,39,6,25.065237,121.513668,VPJFZ00,16,2015-11-20 02:46:22.103
民權東路三段49號,35,3,25.06246667,121.5428,VMZL961,4,2015-11-20 02:46:22.103
民生東路三段19號前,46,6,25.058144,121.538139,VMZL960,20,2015-11-20 02:46:22.103
大業路出口前,38,2,25.121403,121.499554,V8050A0,7,2015-11-20 02:46:22.103
研究院路3段221號對面人行道上,0,1,25.033549,121.611271,VHM3N40,0,2015-11-20 02:46:22.103
大度路(立德路-大度路二段,42,3,25.122709,121.473083,V5B2R20,32,2015-11-20 02:46:22.103
松江路74巷口  松江路100巷口南側人行道,60,6,25.05090833,121.5329083,VLRJX00,33,2015-11-20 02:46:22.103
西藏路424號對面人行道上,44,4,25.02927,121.497337,VGKCG60,7,2015-11-20 02:46:22.103
民權東路出口匝道,58,1,25.022857,121.537302,V12B2E0,19,2015-11-20 02:46:22.103
敦化南路二段與和平東路三段口西北側槽化島,47,4,25.024821,121.548289,VFNN700,15,2015-11-20 02:46:22.103
忠孝東-松仁往東,39,6,25.040996,121.56608,VJES820,36,2015-11-20 02:46:22.103
成功路(康湖路-康寧路三段,52,2,25.080915,121.607137,VSHZU60,8,2015-11-20 02:46:22.103
長春路上匝道,63,1,25.053979,121.536526,V1231E0,13,2015-11-20 02:46:22.103
長安東路一段42號前,53,2,25.048578,121.527048,VKVJB60,39,2015-11-20 02:46:22.103
中山北路-通河街口(育樂中心對面,56,3,25.082344,121.525097,VSVI940,18,2015-11-20 02:46:22.103
桂林路136號對面(華西公園前,32,2,25.038574,121.498693,VIQDB00,16,2015-11-20 02:46:22.103
至善路一段軍方電台前(234號燈桿旁,29,6,25.097081,121.540967,VWRLS20,7,2015-11-20 02:46:22.103
龍江路345巷口(往北約25M靠公園邊,45,2,25.063659,121.540969,VNZLJ40,14,2015-11-20 02:46:22.103
市高新生西側往西,63,3,25.047444,121.52619,V03D0G0,29,2015-11-20 02:46:22.103
北安路520號對面人行道,25,4,25.080036,121.545819,VSWMR40,15,2015-11-20 02:46:22.103
民權東路上匝道,47,1,25.065501,121.535951,V1221E0,8,2015-11-20 02:46:22.103
市高林森西側往西,71,3,25.047978,121.523041,V03D0G1,73,2015-11-20 02:46:22.103
辛亥路3段台大工程研究所旁,64,2,25.020382,121.545,VEWM560,10,2015-11-20 02:46:22.103
南京上匝道,51,1,25.052406,121.537054,V1051A1,13,2015-11-20 02:46:22.103
市高中山西側往西,0,3,25.04849,121.518802,V03D0G2,0,2015-11-20 02:46:22.103
長春路138號前,50,2,25.05472,121.531276,VMDL820,28,2015-11-20 02:46:22.103
松江/新生南路一段(忠孝-仁愛,0,2,25.04024,121.53284,VJWJ740,0,2015-11-20 02:46:22.103
和平東路一段71號前,0,6,25.027117,121.524835,VFZK620,0,2015-11-20 02:46:22.103
松德路出口匝道0+060,48,1,25.032181,121.571953,VGYS7A1,7,2015-11-20 02:46:22.103
和平東路三段234號前,13,2,25.022071,121.554648,VEZPT20,4,2015-11-20 02:46:22.103
往松仁路出口匝道3+970,43,2,25.032244,121.571717,VGYS7A0,5,2015-11-20 02:46:22.103
民權東路二段54號前,36,4,25.062414,121.530774,VP6JY60,25,2015-11-20 02:46:22.103
堤頂大道二段與舊宗路二段路口槽化島,32,6,25.072503,121.573094,VRPSV00,13,2015-11-20 02:46:22.103
離青年路下游235公尺,64,3,25.023776,121.514744,V4250B0,17,2015-11-20 02:46:22.103
舊宗路二段121巷口左側人行道上,35,4,25.069229,121.574684,VQRTE00,11,2015-11-20 02:46:22.103
離出口匝道鼻端下游50公尺,53,1,25.019775,121.52308,V42I2E0,5,2015-11-20 02:46:22.103
市民大道三段與八德路二段88巷口,62,2,25.044972,121.535773,VK9KC60,12,2015-11-20 02:46:22.103
匝道出口處與平面銜接處,24,2,25.02083,121.548331,VEFM0C0,3,2015-11-20 02:46:22.103
瑞光路390號車道出口對面人行道上,17,2,25.077935,121.571622,VSNRE00,5,2015-11-20 02:46:22.103
基隆路-松壽 往北,90,2,25.033686,121.560547,VI9QP10,8,2015-11-20 02:46:22.103
西寧南路與洛陽街口,39,2,25.047274,121.507409,VKJEP40,8,2015-11-20 02:46:22.103
基隆路-松壽 往北,70,2,25.036191,121.561777,VI9QP11,14,2015-11-20 02:46:22.103
基隆路-松壽 往北,42,5,25.035352,121.561496,VI9QP12,21,2015-11-20 02:46:22.103
市民大道二段與長安東路一段52巷口往西40M處(橋下,43,2,25.047305,121.527022,VKSIE60,13,2015-11-20 02:46:22.103
離入口匝道鼻端上游100公尺,54,2,25.015495,121.525638,V4290C0,12,2015-11-20 02:46:22.103
長春路198號對面,25,2,25.05466,121.535577,VMEKD00,10,2015-11-20 02:46:22.103
光復北路127號前,34,3,25.052396,121.556925,VLNPU40,8,2015-11-20 02:46:22.103
信義下與和平下匝道,83,3,25.037325,121.538247,V1280E0,33,2015-11-20 02:46:22.103
中山北路三段51號前,55,4,25.068202,121.52276,VQFHV41,12,2015-11-20 02:46:22.103
北13福國,0,3,25.105833,121.498727,V8230E1,0,2015-11-20 02:46:22.103
民生東路一段9號前,38,3,25.058233,121.523412,VN5HV61,40,2015-11-20 02:46:22.103
基湖路122號-158號(煙波巴洛克大樓對面人行道,40,2,25.077777,121.563215,VRKQZ40,2,2015-11-20 02:46:22.103
民生西路24號前,56,2,25.057778,121.522012,VN5HV60,28,2015-11-20 02:46:22.103
淡北三,57,3,25.111386,121.498442,V8220E2,22,2015-11-20 02:46:22.103
忠孝東路三段174號前,54,6,25.041577,121.538404,VJHKR21,31,2015-11-20 02:46:22.103
淡北一,63,2,25.119073,121.499832,V8220E0,17,2015-11-20 02:46:22.103
中正山岔路口,0,2,25.177392,121.533362,V9HKV40,0,2015-11-20 02:46:22.103
