"noindex","log1","lat1","log2","lat2","log3","lat3","log4","lat4","row","col","centerlog","centerlat","area"
150,121.527,25.18,121.532,25.18,121.527,25.185,121.532,25.185,45,15,121.5295,25.1825,"beitou"
151,121.532,25.18,121.537,25.18,121.532,25.185,121.537,25.185,45,16,121.5345,25.1825,"beitou"
152,121.537,25.18,121.542,25.18,121.537,25.185,121.542,25.185,45,17,121.5395,25.1825,"beitou"
153,121.542,25.18,121.547,25.18,121.542,25.185,121.547,25.185,45,18,121.5445,25.1825,"beitou"
154,121.547,25.18,121.552,25.18,121.547,25.185,121.552,25.185,45,19,121.5495,25.1825,"beitou"
155,121.552,25.18,121.557,25.18,121.552,25.185,121.557,25.185,45,20,121.5545,25.1825,"beitou"
156,121.557,25.18,121.562,25.18,121.557,25.185,121.562,25.185,45,21,121.5595,25.1825,"beitou"
157,121.532,25.185,121.537,25.185,121.532,25.19,121.537,25.19,46,16,121.5345,25.1875,"beitou"
158,121.537,25.185,121.542,25.185,121.537,25.19,121.542,25.19,46,17,121.5395,25.1875,"beitou"
159,121.542,25.185,121.547,25.185,121.542,25.19,121.547,25.19,46,18,121.5445,25.1875,"beitou"
160,121.547,25.185,121.552,25.185,121.547,25.19,121.552,25.19,46,19,121.5495,25.1875,"beitou"
161,121.552,25.185,121.557,25.185,121.552,25.19,121.557,25.19,46,20,121.5545,25.1875,"beitou"
162,121.557,25.185,121.562,25.185,121.557,25.19,121.562,25.19,46,21,121.5595,25.1875,"beitou"
163,121.542,25.19,121.547,25.19,121.542,25.195,121.547,25.195,47,18,121.5445,25.1925,"beitou"
164,121.547,25.19,121.552,25.19,121.547,25.195,121.552,25.195,47,19,121.5495,25.1925,"beitou"
165,121.552,25.19,121.557,25.19,121.552,25.195,121.557,25.195,47,20,121.5545,25.1925,"beitou"
166,121.557,25.19,121.562,25.19,121.557,25.195,121.562,25.195,47,21,121.5595,25.1925,"beitou"
167,121.562,25.19,121.567,25.19,121.562,25.195,121.567,25.195,47,22,121.5645,25.1925,"beitou"
168,121.542,25.195,121.547,25.195,121.542,25.2,121.547,25.2,48,18,121.5445,25.1975,"beitou"
169,121.547,25.195,121.552,25.195,121.547,25.2,121.552,25.2,48,19,121.5495,25.1975,"beitou"
170,121.552,25.195,121.557,25.195,121.552,25.2,121.557,25.2,48,20,121.5545,25.1975,"beitou"
171,121.557,25.195,121.562,25.195,121.557,25.2,121.562,25.2,48,21,121.5595,25.1975,"beitou"
172,121.562,25.195,121.567,25.195,121.562,25.2,121.567,25.2,48,22,121.5645,25.1975,"beitou"
173,121.567,25.195,121.572,25.195,121.567,25.2,121.572,25.2,48,23,121.5695,25.1975,"beitou"
174,121.547,25.2,121.552,25.2,121.547,25.205,121.552,25.205,49,19,121.5495,25.2025,"beitou"
175,121.552,25.2,121.557,25.2,121.552,25.205,121.557,25.205,49,20,121.5545,25.2025,"beitou"
176,121.557,25.2,121.562,25.2,121.557,25.205,121.562,25.205,49,21,121.5595,25.2025,"beitou"
177,121.562,25.2,121.567,25.2,121.562,25.205,121.567,25.205,49,22,121.5645,25.2025,"beitou"
178,121.552,25.205,121.557,25.205,121.552,25.21,121.557,25.21,50,20,121.5545,25.2075,"beitou"
179,121.557,25.205,121.562,25.205,121.557,25.21,121.562,25.21,50,21,121.5595,25.2075,"beitou"
180,121.562,25.205,121.567,25.205,121.562,25.21,121.567,25.21,50,22,121.5645,25.2075,"beitou"
181,121.492,25.095,121.497,25.095,121.492,25.1,121.497,25.1,28,8,121.4945,25.0975,"beitou"
182,121.497,25.095,121.502,25.095,121.497,25.1,121.502,25.1,28,9,121.4995,25.0975,"beitou"
183,121.492,25.1,121.497,25.1,121.492,25.105,121.497,25.105,29,8,121.4945,25.1025,"beitou"
184,121.497,25.1,121.502,25.1,121.497,25.105,121.502,25.105,29,9,121.4995,25.1025,"beitou"
185,121.502,25.1,121.507,25.1,121.502,25.105,121.507,25.105,29,10,121.5045,25.1025,"beitou"
186,121.492,25.105,121.497,25.105,121.492,25.11,121.497,25.11,30,8,121.4945,25.1075,"beitou"
187,121.497,25.105,121.502,25.105,121.497,25.11,121.502,25.11,30,9,121.4995,25.1075,"beitou"
188,121.502,25.105,121.507,25.105,121.502,25.11,121.507,25.11,30,10,121.5045,25.1075,"beitou"
189,121.507,25.105,121.512,25.105,121.507,25.11,121.512,25.11,30,11,121.5095,25.1075,"beitou"
190,121.462,25.11,121.467,25.11,121.462,25.115,121.467,25.115,31,2,121.4645,25.1125,"beitou"
191,121.467,25.11,121.472,25.11,121.467,25.115,121.472,25.115,31,3,121.4695,25.1125,"beitou"
192,121.472,25.11,121.477,25.11,121.472,25.115,121.477,25.115,31,4,121.4745,25.1125,"beitou"
193,121.477,25.11,121.482,25.11,121.477,25.115,121.482,25.115,31,5,121.4795,25.1125,"beitou"
194,121.482,25.11,121.487,25.11,121.482,25.115,121.487,25.115,31,6,121.4845,25.1125,"beitou"
195,121.487,25.11,121.492,25.11,121.487,25.115,121.492,25.115,31,7,121.4895,25.1125,"beitou"
196,121.492,25.11,121.497,25.11,121.492,25.115,121.497,25.115,31,8,121.4945,25.1125,"beitou"
197,121.497,25.11,121.502,25.11,121.497,25.115,121.502,25.115,31,9,121.4995,25.1125,"beitou"
198,121.502,25.11,121.507,25.11,121.502,25.115,121.507,25.115,31,10,121.5045,25.1125,"beitou"
199,121.507,25.11,121.512,25.11,121.507,25.115,121.512,25.115,31,11,121.5095,25.1125,"beitou"
200,121.457,25.115,121.462,25.115,121.457,25.12,121.462,25.12,32,1,121.4595,25.1175,"beitou"
201,121.462,25.115,121.467,25.115,121.462,25.12,121.467,25.12,32,2,121.4645,25.1175,"beitou"
202,121.467,25.115,121.472,25.115,121.467,25.12,121.472,25.12,32,3,121.4695,25.1175,"beitou"
203,121.472,25.115,121.477,25.115,121.472,25.12,121.477,25.12,32,4,121.4745,25.1175,"beitou"
204,121.477,25.115,121.482,25.115,121.477,25.12,121.482,25.12,32,5,121.4795,25.1175,"beitou"
205,121.482,25.115,121.487,25.115,121.482,25.12,121.487,25.12,32,6,121.4845,25.1175,"beitou"
206,121.487,25.115,121.492,25.115,121.487,25.12,121.492,25.12,32,7,121.4895,25.1175,"beitou"
207,121.492,25.115,121.497,25.115,121.492,25.12,121.497,25.12,32,8,121.4945,25.1175,"beitou"
208,121.497,25.115,121.502,25.115,121.497,25.12,121.502,25.12,32,9,121.4995,25.1175,"beitou"
209,121.502,25.115,121.507,25.115,121.502,25.12,121.507,25.12,32,10,121.5045,25.1175,"beitou"
210,121.507,25.115,121.512,25.115,121.507,25.12,121.512,25.12,32,11,121.5095,25.1175,"beitou"
211,121.512,25.115,121.517,25.115,121.512,25.12,121.517,25.12,32,12,121.5145,25.1175,"beitou"
212,121.527,25.135,121.532,25.135,121.527,25.14,121.532,25.14,36,15,121.5295,25.1375,"beitou"
213,121.557,25.175,121.562,25.175,121.557,25.18,121.562,25.18,44,21,121.5595,25.1775,"beitou"
214,121.562,25.18,121.567,25.18,121.562,25.185,121.567,25.185,45,22,121.5645,25.1825,"beitou"
215,121.562,25.185,121.567,25.185,121.562,25.19,121.567,25.19,46,22,121.5645,25.1875,"beitou"
216,121.567,25.185,121.572,25.185,121.567,25.19,121.572,25.19,46,23,121.5695,25.1875,"beitou"
217,121.567,25.19,121.572,25.19,121.567,25.195,121.572,25.195,47,23,121.5695,25.1925,"beitou"
218,121.572,25.195,121.577,25.195,121.572,25.2,121.577,25.2,48,24,121.5745,25.1975,"beitou"
219,121.537,25.015,121.542,25.015,121.537,25.02,121.542,25.02,12,17,121.5395,25.0175,"daan"
220,121.542,25.015,121.547,25.015,121.542,25.02,121.547,25.02,12,18,121.5445,25.0175,"daan"
221,121.547,25.015,121.552,25.015,121.547,25.02,121.552,25.02,12,19,121.5495,25.0175,"daan"
222,121.552,25.015,121.557,25.015,121.552,25.02,121.557,25.02,12,20,121.5545,25.0175,"daan"
223,121.532,25.02,121.537,25.02,121.532,25.025,121.537,25.025,13,16,121.5345,25.0225,"daan"
224,121.537,25.02,121.542,25.02,121.537,25.025,121.542,25.025,13,17,121.5395,25.0225,"daan"
225,121.542,25.02,121.547,25.02,121.542,25.025,121.547,25.025,13,18,121.5445,25.0225,"daan"
226,121.547,25.02,121.552,25.02,121.547,25.025,121.552,25.025,13,19,121.5495,25.0225,"daan"
227,121.527,25.025,121.532,25.025,121.527,25.03,121.532,25.03,14,15,121.5295,25.0275,"daan"
228,121.532,25.025,121.537,25.025,121.532,25.03,121.537,25.03,14,16,121.5345,25.0275,"daan"
229,121.537,25.025,121.542,25.025,121.537,25.03,121.542,25.03,14,17,121.5395,25.0275,"daan"
230,121.542,25.025,121.547,25.025,121.542,25.03,121.547,25.03,14,18,121.5445,25.0275,"daan"
231,121.547,25.025,121.552,25.025,121.547,25.03,121.552,25.03,14,19,121.5495,25.0275,"daan"
232,121.537,25.03,121.542,25.03,121.537,25.035,121.542,25.035,15,17,121.5395,25.0325,"daan"
233,121.542,25.03,121.547,25.03,121.542,25.035,121.547,25.035,15,18,121.5445,25.0325,"daan"
234,121.547,25.03,121.552,25.03,121.547,25.035,121.552,25.035,15,19,121.5495,25.0325,"daan"
235,121.552,25.03,121.557,25.03,121.552,25.035,121.557,25.035,15,20,121.5545,25.0325,"daan"
236,121.537,25.035,121.542,25.035,121.537,25.04,121.542,25.04,16,17,121.5395,25.0375,"daan"
237,121.542,25.035,121.547,25.035,121.542,25.04,121.547,25.04,16,18,121.5445,25.0375,"daan"
238,121.547,25.035,121.552,25.035,121.547,25.04,121.552,25.04,16,19,121.5495,25.0375,"daan"
239,121.552,25.035,121.557,25.035,121.552,25.04,121.557,25.04,16,20,121.5545,25.0375,"daan"
240,121.537,25.005,121.542,25.005,121.537,25.01,121.542,25.01,10,17,121.5395,25.0075,"daan"
241,121.542,25.005,121.547,25.005,121.542,25.01,121.547,25.01,10,18,121.5445,25.0075,"daan"
242,121.547,25.005,121.552,25.005,121.547,25.01,121.552,25.01,10,19,121.5495,25.0075,"daan"
243,121.552,25.005,121.557,25.005,121.552,25.01,121.557,25.01,10,20,121.5545,25.0075,"daan"
244,121.557,25.005,121.562,25.005,121.557,25.01,121.562,25.01,10,21,121.5595,25.0075,"daan"
245,121.532,25.01,121.537,25.01,121.532,25.015,121.537,25.015,11,16,121.5345,25.0125,"daan"
246,121.537,25.01,121.542,25.01,121.537,25.015,121.542,25.015,11,17,121.5395,25.0125,"daan"
247,121.542,25.01,121.547,25.01,121.542,25.015,121.547,25.015,11,18,121.5445,25.0125,"daan"
248,121.547,25.01,121.552,25.01,121.547,25.015,121.552,25.015,11,19,121.5495,25.0125,"daan"
249,121.552,25.01,121.557,25.01,121.552,25.015,121.557,25.015,11,20,121.5545,25.0125,"daan"
250,121.557,25.01,121.562,25.01,121.557,25.015,121.562,25.015,11,21,121.5595,25.0125,"daan"
251,121.532,25.015,121.537,25.015,121.532,25.02,121.537,25.02,12,16,121.5345,25.0175,"daan"
252,121.552,25.02,121.557,25.02,121.552,25.025,121.557,25.025,13,20,121.5545,25.0225,"daan"
253,121.552,25.025,121.557,25.025,121.552,25.03,121.557,25.03,14,20,121.5545,25.0275,"daan"
254,121.532,25.03,121.537,25.03,121.532,25.035,121.537,25.035,15,16,121.5345,25.0325,"daan"
255,121.532,25.035,121.537,25.035,121.532,25.04,121.537,25.04,16,16,121.5345,25.0375,"daan"
256,121.532,25.04,121.537,25.04,121.532,25.045,121.537,25.045,17,16,121.5345,25.0425,"daan"
257,121.537,25.04,121.542,25.04,121.537,25.045,121.542,25.045,17,17,121.5395,25.0425,"daan"
