,lat,log
529,25.0735289883,121.622906941
530,25.073556689,121.622806411
531,25.0738030963,121.622713181
532,25.0739655475,121.622726395
533,25.0740844235,121.622859261
534,25.0741770651,121.622834638
535,25.0742635227,121.62271551
536,25.0743030288,121.622444983
537,25.0743394299,121.622375782
538,25.0746042106,121.622207371
539,25.0747178232,121.622025499
540,25.0747249116,121.621949955
541,25.0747026069,121.621886651
542,25.0746328762,121.621829924
543,25.0743059834,121.62173999
544,25.074231711,121.621689434
545,25.0741643456,121.62160701
546,25.0740055759,121.621253708
547,25.0738840134,121.621177824
548,25.0737649186,121.621051152
549,25.0734505989,121.620653082
550,25.0733875858,121.62060878
551,25.0731281254,121.620585168
552,25.072624579,121.620639313
553,25.0723938648,121.620757715
554,25.0722329081,121.620926959
555,25.0721283748,121.621096484
556,25.0720196699,121.621183906
557,25.0718523896,121.621245941
558,25.0710263028,121.621248145
559,25.0706310668,121.62130903
560,25.0704257088,121.621301489
561,25.0703150637,121.621313632
562,25.0699193783,121.621481686
563,25.0696394062,121.621505361
564,25.0695650576,121.621473393
565,25.0696024616,121.621165076
566,25.0695895242,121.62102036
567,25.069492895,121.620919203
568,25.0692696354,121.620874097
569,25.0691705393,121.620823108
570,25.0686742688,121.620216605
571,25.0686007876,121.619977114
572,25.0686386606,121.619555435
573,25.0683680569,121.619497392
574,25.0682712689,121.619434027
575,25.0680947789,121.618998881
576,25.0680207804,121.618882355
577,25.0676340083,121.61853722
578,25.0676162409,121.61846775
579,25.0676754707,121.617794669
580,25.0676533729,121.617681192
581,25.067597261,121.617605336
582,25.0675004194,121.617554672
583,25.0671911593,121.61756551
584,25.0669085125,121.617690157
585,25.0666210099,121.617896238
586,25.0664786363,121.61793982
587,25.0661739679,121.617931786
588,25.0655268373,121.617777699
589,25.0652058235,121.61790184
590,25.0651133389,121.617888675
591,25.0651255936,121.617655818
592,25.0651847196,121.617549255
593,25.0654362126,121.617317596
594,25.0658728595,121.61706797
595,25.0658956392,121.617017906
596,25.0658918558,121.616841647
597,25.0658583413,121.616759709
598,25.0657954085,121.616696209
599,25.065560914,121.616638662
600,25.0651297262,121.616661593
601,25.0650214668,121.616642155
602,25.0639176049,121.616139513
603,25.0635269012,121.617282941
604,25.0632899738,121.617810461
605,25.0631866288,121.61823799
606,25.062920069,121.618834428
607,25.0623842175,121.61959955
608,25.0620030472,121.620075707
609,25.0615880992,121.620533255
610,25.0607587564,121.621315777
611,25.0602358383,121.621684497
612,25.0598217841,121.62192771
613,25.0594328712,121.622095783
614,25.0589673016,121.622244266
615,25.0582774725,121.622587047
616,25.0577318615,121.622924046
617,25.0564323605,121.623867971
618,25.0559322972,121.624167406
619,25.0557469348,121.62423553
620,25.0554265209,121.624215014
621,25.0552600588,121.624082237
622,25.0550163995,121.623520749
623,25.0550125187,121.623369903
624,25.0553566654,121.623113348
625,25.0554655831,121.62297546
626,25.0556568539,121.622636678
627,25.0562053641,121.622085684
628,25.0563937486,121.621834836
629,25.0565962778,121.621439424
630,25.0566674032,121.6211629
631,25.0566915513,121.62078548
632,25.0566475427,121.620514566
633,25.0565150914,121.620343867
634,25.0563034591,121.620217056
635,25.056125328,121.620175589
636,25.0558229061,121.62017066
637,25.0555765272,121.620257379
638,25.0549947998,121.620657384
639,25.0546441267,121.62085662
640,25.054237237,121.621006016
641,25.0540655234,121.621049131
642,25.0537902755,121.621022656
643,25.0536459871,121.620984144
644,25.0534231526,121.620838078
645,25.053085946,121.620515528
646,25.0530930584,121.6204338
647,25.0531796381,121.620239122
648,25.0531620028,121.620138378
649,25.0523215166,121.618183059
650,25.0516356843,121.617568892
651,25.0510652117,121.616892746
652,25.0508501912,121.616495255
653,25.0506275345,121.616305225
654,25.0505576324,121.616289389
655,25.0499390303,121.616333368
656,25.0493256563,121.616204567
657,25.0487808679,121.616409339
658,25.0481577486,121.616453606
659,25.0479406867,121.616546977
660,25.0472096503,121.617034179
661,25.0434589421,121.61909805
662,25.043232434,121.619292011
663,25.0430190997,121.619573986
664,25.0427379803,121.619874508
665,25.0424051322,121.620130796
666,25.0410994292,121.620948582
667,25.0406170155,121.621349038
668,25.040172863,121.621774765
669,25.0400752871,121.621899999
670,25.0399886014,121.622119738
671,25.0397588754,121.623557303
672,25.0396029707,121.624135595
673,25.0395506663,121.62422947
674,25.0394124911,121.6243483
675,25.038573948,121.624633594
676,25.0378513541,121.624718188
677,25.037783515,121.62474912
678,25.0377539104,121.624811832
679,25.0377310492,121.62488108
680,25.0377521898,121.625220888
681,25.0378145352,121.625422796
682,25.0379957871,121.625794693
683,25.0380133896,121.625901927
684,25.0379480473,121.626411301
685,25.0378134022,121.626763016
686,25.0374386576,121.627317576
687,25.0372951288,121.627634867
688,25.0371558854,121.628005445
689,25.0368938575,121.629124156
690,25.0366842206,121.629595009
691,25.0363036948,121.629913874
692,25.0360346638,121.630019644
693,25.0357071937,121.630068136
694,25.0352784017,121.63005975
695,25.0351404084,121.630134604
696,25.0351063139,121.630191095
697,25.0351168513,121.630367345
698,25.0353786168,121.630909653
699,25.0354387532,121.631098852
700,25.035806548,121.632654909
701,25.0358413282,121.632967845
702,25.0358270535,121.633139635
703,25.0357237934,121.633537637
704,25.0356783068,121.633619154
705,25.0354247766,121.633794045
706,25.035058796,121.633875463
707,25.0349661076,121.633911216
708,25.0348460618,121.634011055
709,25.034793347,121.634199675
710,25.034804041,121.634338146
711,25.0350034139,121.634688964
712,25.0350141753,121.634811331
713,25.0349572154,121.63493676
714,25.0347939386,121.635118127
715,25.0345054615,121.635548616
716,25.0344254106,121.63579593
717,25.0343003286,121.636544654
718,25.0341047516,121.636889224
719,25.0339761262,121.63741064
720,25.0339532601,121.637479886
721,25.0338330748,121.637611487
722,25.0337959556,121.637846635
723,25.0336983239,121.63798176
724,25.0332795505,121.638269121
725,25.0330483712,121.638494592
726,25.0325871074,121.639215556
727,25.0320744677,121.639810837
728,25.0320403172,121.639879713
729,25.0319819207,121.640337694
730,25.0319292473,121.640514851
731,25.0317497047,121.640803132
732,25.0315719826,121.64119206
733,25.031401789,121.641405454
734,25.0313265771,121.641575057
735,25.0313098836,121.641782439
736,25.0313359604,121.642015431
737,25.0313128465,121.642141338
738,25.0312220255,121.642266582
739,25.03103201,121.642366229
740,25.0309714767,121.642730993
741,25.0307013503,121.643088166
742,25.0305745537,121.643181948
743,25.0305177772,121.643263401
744,25.0305090719,121.643710181
745,25.0304229549,121.643791481
746,25.0302919158,121.643822073
747,25.0299300152,121.644002876
748,25.0297913347,121.644234699
749,25.0296748125,121.64456139
750,25.0296560197,121.644731289
751,25.0296720275,121.645203279
752,25.0294471713,121.645529092
753,25.0294573063,121.645793588
754,25.0294115939,121.645925567
755,25.0291169087,121.646219736
756,25.0290236088,121.646395438
757,25.0288244241,121.646526306
758,25.0286348948,121.646512925
759,25.0285200112,121.646461854
760,25.0283192824,121.646429216
761,25.0281881333,121.646485195
762,25.0280431148,121.646616653
763,25.0279859255,121.646792539
764,25.0280121859,121.646981561
765,25.0282067585,121.647391315
766,25.0283705171,121.647621312
767,25.0285887087,121.647789977
768,25.0286402369,121.647878186
769,25.0286510546,121.647985382
770,25.0285691742,121.648129557
771,25.0279595146,121.648709725
772,25.0279296446,121.648830949
773,25.0279473703,121.648906596
774,25.0281062931,121.649209336
775,25.0281279296,121.649423414
776,25.0280411474,121.649655811
777,25.0278911722,121.649887876
778,25.0276211671,121.650213438
779,25.027807474,121.65096314
780,25.0278113808,121.65110157
781,25.0277537978,121.6513657
782,25.0277804138,121.651472671
783,25.0278613054,121.651554844
784,25.0280730139,121.651656597
785,25.0281538769,121.651745273
786,25.028164814,121.6518246
787,25.0281236812,121.651940188
788,25.027858959,121.652089897
789,25.0276468813,121.652519186
790,25.0275697421,121.652610432
791,25.0275617284,121.652893408
792,25.0274927483,121.653182565
793,25.0275099473,121.653377735
794,25.0277652179,121.653838605
795,25.0278842267,121.653977649
796,25.0279353065,121.654166497
797,25.0277798657,121.654612496
798,25.0277265985,121.654920623
799,25.0276042521,121.655026801
800,25.0274776147,121.655082794
