"name","word","count"
"雪貝","雪貝","15"
"也很","也很","15"
"綠黨","綠黨","15"
"信義房屋","信義房屋","15"
"道菜","道菜","15"
"兩人","兩人","15"
"母親","母親","15"
"昨天","昨天","15"
"舉辦","舉辦","15"
"粉絲","粉絲","15"
"干貝","干貝","15"
"面交","面交","15"
"夜店","夜店","15"
"看板","看板","14"
"規定","規定","14"
"休息","休息","14"
"生魚片","生魚片","14"
"蔬食","蔬食","14"
"在台灣","在台灣","14"
"發生","發生","14"
"公告地價","公告地價","14"
"人民","人民","14"
"的水","的水","14"
"拍照","拍照","14"
"披薩","披薩","14"
"是否","是否","14"
"專業","專業","14"
"花生醬","花生醬","14"
"何女","何女","14"
"紅茶","紅茶","14"
"吃的","吃的","14"
"海膽","海膽","14"
"菜色","菜色","14"
"奶茶","奶茶","14"
"刑法","刑法","14"
"影片","影片","14"
"財團","財團","14"
"議題","議題","14"
"串燒","串燒","14"
"滋滋咕嚕","滋滋咕嚕","14"
"五花","五花","14"
"蔬菜","蔬菜","14"
"上面","上面","14"
"小吃","小吃","14"
"松山","松山","14"
"普及率","普及率","14"
"公館","公館","14"
"參與","參與","14"
"預算","預算","14"
"芒果","芒果","14"
"花蓮","花蓮","14"
"珍珠","珍珠","14"
"他的","他的","14"
"的漢堡","的漢堡","13"
"公益","公益","13"
"辣醬","辣醬","13"
"天母","天母","13"
"減少","減少","13"
"鹹食","鹹食","13"
"門市","門市","13"
"的話","的話","13"
"財政部","財政部","13"
"鉛管","鉛管","13"
"油脂","油脂","13"
"蝦頭","蝦頭","13"
"住在","住在","13"
"外帶","外帶","13"
"淋上","淋上","13"
"這家","這家","13"
"中山","中山","13"
"製作","製作","13"
"飲品","飲品","13"
"鮮奶油","鮮奶油","13"
"調整","調整","13"
"國家","國家","13"
"網友","網友","13"
"印度","印度","13"
"犯案","犯案","13"
"一些","一些","13"
"宋楚瑜","宋楚瑜","13"
"潘建志","潘建志","13"
"民陣","民陣","13"
"握壽司","握壽司","13"
"豬腳","豬腳","13"
"他們的","他們的","13"
"不到","不到","13"
"日式","日式","13"
"龍門門市","龍門門市","13"
"選票","選票","13"
"滋味","滋味","13"
"花生","花生","13"
"下午","下午","13"
"房市","房市","13"
"完全","完全","13"
"電影","電影","13"
"創意","創意","13"
"高達","高達","13"
"羊肉","羊肉","13"
"的抹茶","的抹茶","13"
"豬肉","豬肉","13"
"酸甜","酸甜","13"
"股票","股票","13"
"護航","護航","13"
"成功國宅","成功國宅","13"
"南港區","南港區","13"
"巷弄","巷弄","13"
"全台","全台","13"
"義大利","義大利","13"
"南路","南路","13"
"勞工","勞工","13"
"兒少","兒少","12"
"饅頭","饅頭","12"
"地下水","地下水","12"
"起司醬","起司醬","12"
"精緻","精緻","12"
"內用","內用","12"
"條例","條例","12"
"臭豆腐","臭豆腐","12"
"多人","多人","12"
"米糕","米糕","12"
"不能","不能","12"
"滷味","滷味","12"
"補助","補助","12"
"推薦度","推薦度","12"
"無黨籍","無黨籍","12"
"顏秋月","顏秋月","12"
"下跌","下跌","12"
"油花","油花","12"
"休閒","休閒","12"
"出現","出現","12"
"推動","推動","12"
"網路","網路","12"
"或是","或是","12"
"優惠","優惠","12"
"的小","的小","12"
"中間","中間","12"
"公寓","公寓","12"
"精彩食記","精彩食記","12"
"總部","總部","12"
"警員","警員","12"
"張男","張男","12"
"中獎","中獎","12"
"正妹","正妹","12"
"羅浮宮","羅浮宮","12"
"莓果","莓果","12"
"里民","里民","12"
"美味度","美味度","12"
"中獎發票","中獎發票","12"
"剛好","剛好","12"
"雙方","雙方","12"
"認為","認為","12"
"這道","這道","12"
"為主","為主","12"
"只有","只有","12"
"大概","大概","12"
"標題","標題","12"
"帶有","帶有","12"
"屋主","屋主","12"
"豐富","豐富","12"
"檢方","檢方","12"
"帶點","帶點","12"
"影響","影響","12"
"女方","女方","12"
"審查","審查","12"
"公墓","公墓","12"
"民政局","民政局","12"
"居酒屋","居酒屋","12"
"蘇打","蘇打","12"
"以下","以下","12"
"艾妮可","艾妮可","12"
"便宜","便宜","12"
"地點","地點","12"
"約定時薪","約定時薪","12"
"貓咪","貓咪","12"
"區第","區第","12"
"餐友","餐友","12"
"想吃","想吃","12"
"下修","下修","12"
"國會","國會","12"
"管理","管理","12"
"法案","法案","12"
"指出","指出","12"
"運動","運動","12"
"中正","中正","12"
"大安區公所","大安區公所","12"
"支持者","支持者","12"
"王欣儀","王欣儀","12"
"法規定","法規定","12"
"韓式燒烤","韓式燒烤","12"
"如果可以","如果可以","12"
"項子欄位必填","項子欄位必填","12"
"組合","組合","12"
"推薦料理第","推薦料理第","12"
"竊盜","竊盜","12"
"高收入里最密集的地區","高收入里最密集的地區","12"
"軟嫩","軟嫩","11"
"酥脆","酥脆","11"
"我的","我的","11"
"實坪","實坪","11"
"環保局","環保局","11"
"洋蔥","洋蔥","11"
"均價","均價","11"
"香草","香草","11"
"高雄","高雄","11"
"何男","何男","11"
"敦化","敦化","11"
"包廂","包廂","11"
"的鮭魚","的鮭魚","11"
"低消","低消","11"
"一樓","一樓","11"
"經營","經營","11"
"霜淇淋","霜淇淋","11"
"特色","特色","11"
"院區","院區","11"
"的拉拉熊","的拉拉熊","11"
"羅斯福路","羅斯福路","11"
"公車","公車","11"
